,CMTE_ID,CMTE_PTY_AFFILIATION
0,C00000125,REP
1,C00000935,DEM
2,C00000992,REP
3,C00001081,REP
4,C00001305,REP
5,C00001313,REP
6,C00001917,DEM
7,C00002154,REP
8,C00002600,DEM
9,C00002931,REP
10,C00003111,REP
11,C00003418,REP
12,C00003897,DEM
13,C00003988,DEM
14,C00004606,REP
15,C00005041,REP
16,C00005173,DEM
17,C00005462,REP
18,C00005561,DEM
19,C00005785,REP
20,C00005801,REP
21,C00005819,REP
22,C00005926,REP
23,C00005975,REP
24,C00006049,REP
25,C00006486,REP
26,C00007658,DEM
27,C00007682,REP
28,C00008086,REP
29,C00008110,DEM
30,C00008227,REP
31,C00008664,REP
32,C00008755,REP
33,C00009456,DEM
34,C00009845,DEM
35,C00009878,REP
36,C00010033,DEM
37,C00010439,DEM
38,C00010603,DEM
39,C00011197,DEM
40,C00011270,REP
41,C00011643,REP
42,C00012229,REP
43,C00013128,DEM
44,C00013573,REP
45,C00013748,DEM
46,C00014092,REP
47,C00014407,REP
48,C00014498,REP
49,C00014613,DEM
50,C00014944,REP
51,C00015339,DEM
52,C00015362,REP
53,C00015594,REP
54,C00018135,DEM
55,C00018473,DEM
56,C00018929,REP
57,C00019075,DEM
58,C00019331,DEM
59,C00019380,DEM
60,C00020453,REP
61,C00020818,REP
62,C00020974,DEM
63,C00021048,REP
64,C00021824,DEM
65,C00022517,DEM
66,C00023838,REP
67,C00024372,DEM
68,C00024455,DEM
69,C00024620,DEM
70,C00024679,DEM
71,C00025973,DEM
72,C00026740,REP
73,C00026757,DEM
74,C00026823,REP
75,C00027300,REP
76,C00027466,REP
77,C00028316,REP
78,C00029777,DEM
79,C00031054,DEM
80,C00031088,REP
81,C00032334,REP
82,C00033134,REP
83,C00033431,DEM
84,C00034033,REP
85,C00035600,DEM
86,C00035618,REP
87,C00036004,DEM
88,C00037606,DEM
89,C00038505,REP
90,C00040220,REP
91,C00040857,DEM
92,C00041160,REP
93,C00041236,REP
94,C00041269,DEM
95,C00042267,REP
96,C00042366,DEM
97,C00042622,REP
98,C00043919,REP
99,C00044768,REP
100,C00044776,REP
101,C00044842,REP
102,C00044990,REP
103,C00045484,REP
104,C00046003,DEM
105,C00047498,DEM
106,C00048371,DEM
107,C00051227,REP
108,C00052076,DEM
109,C00055582,REP
110,C00060582,DEM
111,C00063024,DEM
112,C00064337,DEM
113,C00068981,DEM
114,C00071365,DEM
115,C00073791,DEM
116,C00074450,REP
117,C00075820,REP
118,C00077537,DEM
119,C00078105,DEM
120,C00078196,REP
121,C00078295,DEM
122,C00079020,REP
123,C00079913,REP
124,C00080572,DEM
125,C00080655,DEM
126,C00081356,DEM
127,C00081802,REP
128,C00081885,REP
129,C00082131,DEM
130,C00082347,DEM
131,C00082552,REP
132,C00082925,REP
133,C00083428,REP
134,C00083709,REP
135,C00084368,REP
136,C00084954,REP
137,C00085506,REP
138,C00085688,DEM
139,C00085951,DEM
140,C00086090,DEM
141,C00087296,DEM
142,C00088484,DEM
143,C00088658,REP
144,C00088666,DEM
145,C00088773,DEM
146,C00089243,DEM
147,C00089482,REP
148,C00090357,REP
149,C00091298,REP
150,C00091892,REP
151,C00093807,REP
152,C00096412,REP
153,C00096941,DEM
154,C00097543,DEM
155,C00099259,REP
156,C00099267,DEM
157,C00099465,DEM
158,C00100537,REP
159,C00100644,REP
160,C00104471,DEM
161,C00104752,REP
162,C00105668,DEM
163,C00105973,DEM
164,C00107003,REP
165,C00107391,DEM
166,C00108068,REP
167,C00108613,DEM
168,C00109116,REP
169,C00111765,REP
170,C00112250,DEM
171,C00112953,DEM
172,C00113662,DEM
173,C00114439,DEM
174,C00115667,REP
175,C00115972,REP
176,C00116038,REP
177,C00116632,REP
178,C00117119,REP
179,C00117291,REP
180,C00118968,REP
181,C00119040,REP
182,C00119701,DEM
183,C00120055,REP
184,C00120683,DEM
185,C00122176,REP
186,C00126961,REP
187,C00128868,DEM
188,C00128876,REP
189,C00130096,DEM
190,C00132035,REP
191,C00135558,DEM
192,C00136200,DEM
193,C00136374,REP
194,C00136457,REP
195,C00136853,REP
196,C00139253,REP
197,C00140590,REP
198,C00140715,DEM
199,C00141812,DEM
200,C00142000,REP
201,C00142216,DEM
202,C00142943,REP
203,C00143230,DEM
204,C00143438,DEM
205,C00143743,REP
206,C00144709,DEM
207,C00145433,DEM
208,C00145607,REP
209,C00145862,REP
210,C00146779,DEM
211,C00147686,DEM
212,C00148429,DEM
213,C00149120,DEM
214,C00149641,DEM
215,C00149732,REP
216,C00150383,DEM
217,C00150672,REP
218,C00150938,DEM
219,C00151456,DEM
220,C00153031,REP
221,C00153213,REP
222,C00153510,DEM
223,C00153684,DEM
224,C00154625,DEM
225,C00155952,DEM
226,C00156539,DEM
227,C00156612,DEM
228,C00157404,DEM
229,C00157529,REP
230,C00157909,DEM
231,C00158022,DEM
232,C00158402,REP
233,C00160937,DEM
234,C00161067,DEM
235,C00161257,DEM
236,C00161737,REP
237,C00161786,DEM
238,C00161810,DEM
239,C00162339,REP
240,C00162578,DEM
241,C00164236,REP
242,C00164418,REP
243,C00164855,DEM
244,C00165142,REP
245,C00165241,DEM
246,C00165449,DEM
247,C00165688,DEM
248,C00165753,DEM
249,C00165803,REP
250,C00165852,DEM
251,C00166017,REP
252,C00166504,DEM
253,C00166694,DEM
254,C00166710,DEM
255,C00166827,DEM
256,C00167015,DEM
257,C00167130,DEM
258,C00167213,REP
259,C00167320,DEM
260,C00167346,DEM
261,C00167437,DEM
262,C00167478,DEM
263,C00167585,DEM
264,C00168823,DEM
265,C00170175,REP
266,C00170860,REP
267,C00171140,REP
268,C00171348,REP
269,C00171538,DEM
270,C00172239,DEM
271,C00172510,REP
272,C00172619,DEM
273,C00172734,REP
274,C00173054,REP
275,C00174052,DEM
276,C00174334,REP
277,C00174821,REP
278,C00175869,REP
279,C00176560,REP
280,C00176834,REP
281,C00177147,DEM
282,C00177576,REP
283,C00178038,DEM
284,C00178418,DEM
285,C00179408,DEM
286,C00180505,DEM
287,C00181230,REP
288,C00181628,REP
289,C00185504,REP
290,C00187450,REP
291,C00188078,REP
292,C00188193,DEM
293,C00188367,DEM
294,C00188508,DEM
295,C00188888,DEM
296,C00189100,REP
297,C00190934,DEM
298,C00191247,DEM
299,C00191288,REP
300,C00192062,REP
301,C00193342,REP
302,C00193623,DEM
303,C00194589,REP
304,C00194712,REP
305,C00194803,REP
306,C00195065,REP
307,C00195628,DEM
308,C00195701,REP
309,C00196501,REP
310,C00196527,DEM
311,C00196774,DEM
312,C00196915,DEM
313,C00197152,REP
314,C00197160,REP
315,C00197285,DEM
316,C00197483,REP
317,C00197699,REP
318,C00198283,DEM
319,C00198309,REP
320,C00198614,REP
321,C00198796,REP
322,C00198960,DEM
323,C00199273,DEM
324,C00199836,DEM
325,C00200584,REP
326,C00200808,DEM
327,C00200865,REP
328,C00200873,DEM
329,C00201533,DEM
330,C00202176,DEM
331,C00202416,DEM
332,C00202523,REP
333,C00202648,REP
334,C00202754,DEM
335,C00203521,DEM
336,C00203554,DEM
337,C00204370,DEM
338,C00204966,DEM
339,C00207399,REP
340,C00207944,DEM
341,C00207993,REP
342,C00208090,REP
343,C00208207,REP
344,C00208991,DEM
345,C00209668,DEM
346,C00210344,DEM
347,C00211763,DEM
348,C00212787,DEM
349,C00213314,DEM
350,C00213512,DEM
351,C00213611,DEM
352,C00213967,REP
353,C00214403,DEM
354,C00214585,REP
355,C00215699,REP
356,C00215830,DEM
357,C00216101,DEM
358,C00216614,DEM
359,C00216705,REP
360,C00217117,REP
361,C00217893,DEM
362,C00219204,DEM
363,C00219220,REP
364,C00219881,DEM
365,C00220145,DEM
366,C00220186,REP
367,C00221242,DEM
368,C00222000,REP
369,C00222158,DEM
370,C00222422,DEM
371,C00223073,DEM
372,C00223230,DEM
373,C00223297,REP
374,C00224220,REP
375,C00226217,REP
376,C00226928,DEM
377,C00228247,DEM
378,C00229104,REP
379,C00229377,REP
380,C00230417,DEM
381,C00231076,DEM
382,C00231191,DEM
383,C00231316,DEM
384,C00233239,DEM
385,C00233361,REP
386,C00234567,DEM
387,C00235499,REP
388,C00235515,DEM
389,C00235580,DEM
390,C00235721,REP
391,C00235994,DEM
392,C00236166,REP
393,C00236182,REP
394,C00236505,REP
395,C00236513,DEM
396,C00236711,DEM
397,C00237180,DEM
398,C00237198,REP
399,C00237479,DEM
400,C00237834,REP
401,C00237909,REP
402,C00237941,DEM
403,C00237958,DEM
404,C00237982,REP
405,C00238147,DEM
406,C00238378,REP
407,C00238444,DEM
408,C00238907,DEM
409,C00239038,DEM
410,C00239061,DEM
411,C00239152,REP
412,C00239244,DEM
413,C00239327,REP
414,C00239905,REP
415,C00240408,REP
416,C00240465,DEM
417,C00240986,DEM
418,C00241349,DEM
419,C00242446,REP
420,C00242669,REP
421,C00242768,REP
422,C00243618,REP
423,C00243816,REP
424,C00244194,DEM
425,C00244657,DEM
426,C00246348,DEM
427,C00246868,DEM
428,C00247379,DEM
429,C00247494,REP
430,C00247544,DEM
431,C00247734,DEM
432,C00248864,DEM
433,C00249250,REP
434,C00250191,DEM
435,C00250860,DEM
436,C00250951,DEM
437,C00250993,REP
438,C00251207,REP
439,C00251918,DEM
440,C00252551,REP
441,C00253047,DEM
442,C00253187,DEM
443,C00253260,REP
444,C00253377,DEM
445,C00253732,REP
446,C00253880,DEM
447,C00253971,REP
448,C00254094,REP
449,C00254292,REP
450,C00254490,REP
451,C00254540,REP
452,C00254573,DEM
453,C00254581,DEM
454,C00254870,DEM
455,C00254912,REP
456,C00254938,REP
457,C00255141,DEM
458,C00255190,REP
459,C00255471,REP
460,C00255562,DEM
461,C00255703,REP
462,C00256115,REP
463,C00256131,REP
464,C00257121,DEM
465,C00257220,REP
466,C00257519,DEM
467,C00257543,DEM
468,C00257584,REP
469,C00257881,DEM
470,C00257956,REP
471,C00258244,REP
472,C00258475,DEM
473,C00258855,REP
474,C00259143,DEM
475,C00259374,DEM
476,C00259481,DEM
477,C00259937,DEM
478,C00260216,REP
479,C00260265,DEM
480,C00260307,REP
481,C00261289,DEM
482,C00261388,DEM
483,C00261891,REP
484,C00261958,REP
485,C00262048,DEM
486,C00262188,REP
487,C00262816,DEM
488,C00262824,DEM
489,C00263053,REP
490,C00263343,DEM
491,C00263608,REP
492,C00263632,REP
493,C00264028,REP
494,C00264697,DEM
495,C00264838,REP
496,C00265298,REP
497,C00265322,DEM
498,C00265603,REP
499,C00265850,REP
500,C00266767,REP
501,C00266932,REP
502,C00266940,DEM
503,C00267278,REP
504,C00267385,DEM
505,C00267708,DEM
506,C00268722,DEM
507,C00269506,DEM
508,C00269837,DEM
509,C00270041,DEM
510,C00270249,REP
511,C00270330,REP
512,C00270868,DEM
513,C00271171,REP
514,C00271312,DEM
515,C00271387,DEM
516,C00271742,DEM
517,C00272153,REP
518,C00272633,DEM
519,C00273169,DEM
520,C00273755,REP
521,C00274407,DEM
522,C00274423,DEM
523,C00274894,DEM
524,C00275560,REP
525,C00275578,DEM
526,C00275586,REP
527,C00276204,REP
528,C00276212,DEM
529,C00276428,REP
530,C00276519,DEM
531,C00276659,DEM
532,C00277038,DEM
533,C00277236,DEM
534,C00277335,REP
535,C00277350,REP
536,C00277368,DEM
537,C00277541,DEM
538,C00279372,DEM
539,C00279521,REP
540,C00279703,REP
541,C00279745,REP
542,C00279901,DEM
543,C00279935,REP
544,C00280040,DEM
545,C00280453,REP
546,C00280537,REP
547,C00280941,DEM
548,C00281311,REP
549,C00281337,DEM
550,C00281402,REP
551,C00281709,DEM
552,C00281758,REP
553,C00282020,REP
554,C00282160,REP
555,C00282186,REP
556,C00282202,DEM
557,C00282624,DEM
558,C00283044,REP
559,C00283051,REP
560,C00283150,REP
561,C00283267,REP
562,C00283325,DEM
563,C00283606,REP
564,C00284174,REP
565,C00284216,REP
566,C00284901,REP
567,C00285114,DEM
568,C00285254,REP
569,C00285403,REP
570,C00285569,REP
571,C00285809,REP
572,C00285882,REP
573,C00285932,REP
574,C00286054,REP
575,C00286187,REP
576,C00286435,DEM
577,C00286476,REP
578,C00286500,DEM
579,C00286781,REP
580,C00286963,REP
581,C00287045,REP
582,C00287367,REP
583,C00287458,DEM
584,C00287607,REP
585,C00287771,REP
586,C00287904,DEM
587,C00287912,REP
588,C00287953,REP
589,C00287987,REP
590,C00288142,DEM
591,C00288183,REP
592,C00288324,REP
593,C00288332,DEM
594,C00288753,REP
595,C00289140,REP
596,C00289389,REP
597,C00289454,REP
598,C00289603,DEM
599,C00289637,REP
600,C00289645,REP
601,C00289983,REP
602,C00290064,DEM
603,C00290155,REP
604,C00290288,REP
605,C00290429,DEM
606,C00291062,REP
607,C00291088,REP
608,C00291211,DEM
609,C00291278,REP
610,C00291955,REP
611,C00292037,REP
612,C00292227,REP
613,C00292474,DEM
614,C00292557,REP
615,C00292615,REP
616,C00292888,REP
617,C00292896,REP
618,C00293233,REP
619,C00293563,REP
620,C00293738,DEM
621,C00294280,REP
622,C00294306,REP
623,C00294546,REP
624,C00294694,DEM
625,C00294900,REP
626,C00294942,DEM
627,C00295154,REP
628,C00295253,REP
629,C00295428,DEM
630,C00295469,REP
631,C00295923,REP
632,C00295931,REP
633,C00295964,DEM
634,C00296137,REP
635,C00296806,DEM
636,C00297119,DEM
637,C00297226,DEM
638,C00298042,DEM
639,C00298059,DEM
640,C00299214,REP
641,C00299313,REP
642,C00299339,DEM
643,C00299404,REP
644,C00299917,REP
645,C00300392,REP
646,C00300566,REP
647,C00300608,REP
648,C00300632,REP
649,C00300640,REP
650,C00300681,REP
651,C00300772,REP
652,C00300780,DEM
653,C00300830,REP
654,C00300970,REP
655,C00301002,REP
656,C00301093,REP
657,C00301150,REP
658,C00301382,DEM
659,C00301440,DEM
660,C00301549,REP
661,C00301556,REP
662,C00301838,REP
663,C00301853,REP
664,C00301978,REP
665,C00301994,REP
666,C00302265,DEM
667,C00302273,DEM
668,C00302349,REP
669,C00302463,REP
670,C00302489,REP
671,C00302521,DEM
672,C00302570,REP
673,C00302646,REP
674,C00302711,DEM
675,C00302802,DEM
676,C00302885,DEM
677,C00302927,REP
678,C00303065,DEM
679,C00303123,DEM
680,C00303214,REP
681,C00303255,REP
682,C00303305,REP
683,C00303313,REP
684,C00303354,REP
685,C00303388,DEM
686,C00303552,DEM
687,C00303834,REP
688,C00304147,REP
689,C00304170,REP
690,C00304188,DEM
691,C00304220,REP
692,C00304261,REP
693,C00304378,DEM
694,C00304386,DEM
695,C00304436,REP
696,C00304527,REP
697,C00304626,REP
698,C00304667,REP
699,C00304709,DEM
700,C00304758,REP
701,C00304915,REP
702,C00304923,REP
703,C00304931,REP
704,C00304949,REP
705,C00304998,REP
706,C00305052,REP
707,C00305342,REP
708,C00305359,REP
709,C00305482,REP
710,C00305516,REP
711,C00305656,DEM
712,C00305920,DEM
713,C00305961,DEM
714,C00306035,DEM
715,C00306225,REP
716,C00306266,DEM
717,C00306290,DEM
718,C00306332,REP
719,C00306704,REP
720,C00306712,DEM
721,C00306787,DEM
722,C00306829,DEM
723,C00306860,DEM
724,C00307074,REP
725,C00307165,REP
726,C00307256,DEM
727,C00307306,DEM
728,C00307314,DEM
729,C00307348,REP
730,C00307587,DEM
731,C00307611,REP
732,C00307645,DEM
733,C00307850,DEM
734,C00307868,REP
735,C00307884,REP
736,C00307918,DEM
737,C00307959,REP
738,C00308007,DEM
739,C00308114,REP
740,C00308122,REP
741,C00308213,DEM
742,C00308395,DEM
743,C00308403,DEM
744,C00308429,DEM
745,C00308445,DEM
746,C00308536,REP
747,C00308569,REP
748,C00308577,REP
749,C00308676,DEM
750,C00308742,DEM
751,C00308759,DEM
752,C00308890,REP
753,C00308916,REP
754,C00308932,REP
755,C00309054,REP
756,C00309237,DEM
757,C00309260,REP
758,C00309401,DEM
759,C00309427,REP
760,C00309567,DEM
761,C00309740,DEM
762,C00309849,DEM
763,C00309930,REP
764,C00310011,REP
765,C00310136,REP
766,C00310144,DEM
767,C00310169,DEM
768,C00310185,DEM
769,C00310466,REP
770,C00310490,REP
771,C00310532,REP
772,C00310607,DEM
773,C00310706,DEM
774,C00310714,DEM
775,C00310870,DEM
776,C00310896,DEM
777,C00310904,DEM
778,C00310938,DEM
779,C00310979,DEM
780,C00311019,REP
781,C00311043,REP
782,C00311076,DEM
783,C00311209,DEM
784,C00311217,DEM
785,C00311233,REP
786,C00311456,DEM
787,C00311639,DEM
788,C00311712,DEM
789,C00311837,REP
790,C00311852,REP
791,C00311886,REP
792,C00311969,DEM
793,C00312017,DEM
794,C00312090,REP
795,C00312124,DEM
796,C00312140,DEM
797,C00312256,REP
798,C00312330,DEM
799,C00312371,DEM
800,C00312512,REP
801,C00312611,REP
802,C00312645,DEM
803,C00312728,REP
804,C00312819,REP
805,C00312850,DEM
806,C00312884,DEM
807,C00312900,REP
808,C00313007,REP
809,C00313049,REP
810,C00313247,REP
811,C00313288,REP
812,C00313437,REP
813,C00313445,REP
814,C00313510,DEM
815,C00313684,DEM
816,C00313734,DEM
817,C00313817,DEM
818,C00313833,DEM
819,C00313874,DEM
820,C00314096,REP
821,C00314153,DEM
822,C00314286,REP
823,C00314310,DEM
824,C00314328,DEM
825,C00314377,DEM
826,C00314526,DEM
827,C00314575,REP
828,C00314583,DEM
829,C00314799,DEM
830,C00314922,REP
831,C00315036,DEM
832,C00315176,DEM
833,C00315184,DEM
834,C00315218,REP
835,C00315416,REP
836,C00315424,REP
837,C00315564,DEM
838,C00315630,REP
839,C00315788,DEM
840,C00315796,REP
841,C00315978,DEM
842,C00315986,DEM
843,C00316141,DEM
844,C00316216,DEM
845,C00316307,DEM
846,C00316380,REP
847,C00316422,DEM
848,C00316448,REP
849,C00316497,DEM
850,C00316596,DEM
851,C00316661,DEM
852,C00316828,REP
853,C00316851,DEM
854,C00316935,REP
855,C00316950,DEM
856,C00317537,DEM
857,C00317701,DEM
858,C00317719,DEM
859,C00317743,REP
860,C00317842,DEM
861,C00317909,REP
862,C00317933,REP
863,C00317974,DEM
864,C00318055,DEM
865,C00318121,DEM
866,C00318196,DEM
867,C00318253,REP
868,C00318261,DEM
869,C00318329,DEM
870,C00318394,DEM
871,C00318410,DEM
872,C00318543,REP
873,C00318584,REP
874,C00318659,REP
875,C00318774,DEM
876,C00318931,DEM
877,C00318998,REP
878,C00319038,REP
879,C00319343,DEM
880,C00319376,DEM
881,C00319418,DEM
882,C00319657,REP
883,C00319673,REP
884,C00319681,DEM
885,C00319806,DEM
886,C00319863,REP
887,C00319947,DEM
888,C00319988,DEM
889,C00320077,REP
890,C00320457,REP
891,C00320754,DEM
892,C00320812,DEM
893,C00320861,DEM
894,C00321141,REP
895,C00321414,DEM
896,C00321448,DEM
897,C00321620,REP
898,C00321653,DEM
899,C00321885,DEM
900,C00322768,REP
901,C00323253,DEM
902,C00323519,REP
903,C00323618,REP
904,C00323865,DEM
905,C00323923,DEM
906,C00325126,DEM
907,C00325233,DEM
908,C00325274,REP
909,C00325449,DEM
910,C00325464,REP
911,C00325670,REP
912,C00325704,DEM
913,C00325712,REP
914,C00325738,DEM
915,C00325878,REP
916,C00326108,DEM
917,C00326140,DEM
918,C00326223,DEM
919,C00326272,DEM
920,C00326314,REP
921,C00326363,DEM
922,C00326538,REP
923,C00326546,REP
924,C00326611,REP
925,C00326629,REP
926,C00326751,DEM
927,C00326769,REP
928,C00326819,DEM
929,C00326835,REP
930,C00326934,REP
