pollster_rating_id,location,polldate,samplesize,cand1_name,cand1_pct,cand2_name,cand2_pct,electiondate
248,IA,2000-01-04,300.0,Gore,45.0,Bradley,32.0,2000-01-24
304,IA,2000-01-04,600.0,Gore,54.0,Bradley,33.0,2000-01-24
304,IA,2000-01-04,600.0,Bush,45.0,Forbes,18.0,2000-01-24
281,IA,2000-01-10,304.0,Gore,52.0,Bradley,34.0,2000-01-24
248,IA,2000-01-10,300.0,Bush,46.0,Forbes,17.0,2000-01-24
281,IA,2000-01-10,311.0,Bush,46.0,Forbes,20.0,2000-01-24
252,IA,2000-01-12,500.0,Gore,57.0,Bradley,31.0,2000-01-24
252,IA,2000-01-12,500.0,Bush,43.0,Forbes,18.0,2000-01-24
172,IA,2000-01-14,571.0,Gore,58.0,Bradley,35.0,2000-01-24
172,IA,2000-01-14,557.0,Bush,43.0,Forbes,25.0,2000-01-24
197,IA,2000-01-18,409.0,Gore,53.0,Bradley,32.0,2000-01-24
281,IA,2000-01-18,304.0,Gore,56.0,Bradley,32.0,2000-01-24
353,IA,2000-01-18,500.0,Gore,63.0,Bradley,26.0,2000-01-24
197,IA,2000-01-18,412.0,Bush,47.0,Forbes,24.0,2000-01-24
281,IA,2000-01-18,311.0,Bush,46.0,Forbes,23.0,2000-01-24
353,IA,2000-01-18,500.0,Bush,55.0,Forbes,12.0,2000-01-24
304,IA,2000-01-19,600.0,Gore,56.0,Bradley,28.0,2000-01-24
304,IA,2000-01-19,600.0,Bush,43.0,Forbes,20.0,2000-01-24
107,NH,2000-01-25,409.0,Gore,52.0,Bradley,37.0,2000-02-01
112,NH,2000-01-25,697.0,Gore,57.0,Bradley,39.0,2000-02-01
272,NH,2000-01-25,402.0,Gore,46.0,Bradley,40.0,2000-02-01
395,NH,2000-01-25,820.0,Gore,48.0,Bradley,41.0,2000-02-01
72,NH,2000-01-25,436.0,McCain,37.0,Bush,34.0,2000-02-01
107,NH,2000-01-25,409.0,McCain,38.0,Bush,30.0,2000-02-01
112,NH,2000-01-25,888.0,McCain,40.0,Bush,35.0,2000-02-01
272,NH,2000-01-25,402.0,McCain,32.0,Bush,27.0,2000-02-01
395,NH,2000-01-25,813.0,McCain,39.0,Bush,33.0,2000-02-01
72,NH,2000-01-26,500.0,Gore,48.0,Bradley,41.0,2000-02-01
160,NH,2000-01-26,400.0,Gore,48.0,Bradley,40.0,2000-02-01
36,NH,2000-01-26,397.0,McCain,36.0,Bush,31.0,2000-02-01
160,NH,2000-01-26,400.0,McCain,36.0,Bush,31.0,2000-02-01
357,NH,2000-01-26,498.0,McCain,40.0,Bush,33.0,2000-02-01
9,NH,2000-01-27,600.0,Gore,50.0,Bradley,43.0,2000-02-01
357,NH,2000-01-27,327.0,Gore,54.0,Bradley,42.0,2000-02-01
9,NH,2000-01-27,600.0,McCain,36.0,Bush,34.0,2000-02-01
112,NH,2000-01-28,697.0,Gore,48.0,Bradley,47.0,2000-02-01
160,NH,2000-01-28,400.0,Gore,51.0,Bradley,41.0,2000-02-01
197,NH,2000-01-28,428.0,Gore,53.0,Bradley,40.0,2000-02-01
272,NH,2000-01-28,402.0,Gore,48.0,Bradley,39.0,2000-02-01
395,NH,2000-01-28,820.0,Gore,49.0,Bradley,42.0,2000-02-01
112,NH,2000-01-28,888.0,McCain,39.0,Bush,34.0,2000-02-01
160,NH,2000-01-28,400.0,McCain,37.0,Bush,36.0,2000-02-01
197,NH,2000-01-28,428.0,McCain,36.0,Bush,35.0,2000-02-01
272,NH,2000-01-28,402.0,McCain,36.0,Bush,30.0,2000-02-01
390,NH,2000-01-28,500.0,McCain,39.0,Bush,37.0,2000-02-01
395,NH,2000-01-28,813.0,McCain,38.0,Bush,36.0,2000-02-01
36,NH,2000-01-29,347.0,Gore,55.0,Bradley,39.0,2000-02-01
107,NH,2000-01-29,355.0,Gore,47.0,Bradley,41.0,2000-02-01
221,NH,2000-01-29,500.0,Gore,49.0,Bradley,37.0,2000-02-01
267,NH,2000-01-29,430.0,Gore,53.0,Bradley,36.0,2000-02-01
325,NH,2000-01-29,619.0,Gore,56.0,Bradley,41.0,2000-02-01
354,NH,2000-01-29,400.0,Gore,45.0,Bradley,44.0,2000-02-01
36,NH,2000-01-29,450.0,McCain,39.0,Bush,35.0,2000-02-01
107,NH,2000-01-29,506.0,McCain,40.0,Bush,29.0,2000-02-01
221,NH,2000-01-29,500.0,McCain,38.0,Bush,32.0,2000-02-01
267,NH,2000-01-29,606.0,McCain,39.0,Bush,29.0,2000-02-01
325,NH,2000-01-29,881.0,McCain,41.0,Bush,35.0,2000-02-01
354,NH,2000-01-29,400.0,McCain,37.0,Bush,28.0,2000-02-01
9,NH,2000-01-30,600.0,Gore,50.0,Bradley,45.0,2000-02-01
160,NH,2000-01-30,400.0,Gore,48.0,Bradley,42.0,2000-02-01
221,NH,2000-01-30,501.0,Gore,49.0,Bradley,37.0,2000-02-01
357,NH,2000-01-30,327.0,Gore,49.0,Bradley,46.0,2000-02-01
9,NH,2000-01-30,600.0,McCain,38.0,Bush,36.0,2000-02-01
160,NH,2000-01-30,400.0,McCain,38.0,Bush,34.0,2000-02-01
221,NH,2000-01-30,502.0,McCain,38.0,Bush,32.0,2000-02-01
357,NH,2000-01-30,498.0,McCain,41.0,Bush,34.0,2000-02-01
112,NH,2000-01-31,697.0,Gore,54.0,Bradley,42.0,2000-02-01
395,NH,2000-01-31,820.0,Gore,52.0,Bradley,40.0,2000-02-01
112,NH,2000-01-31,888.0,McCain,44.0,Bush,32.0,2000-02-01
395,NH,2000-01-31,813.0,McCain,41.0,Bush,31.0,2000-02-01
277,SC,2000-02-02,600.0,Bush,41.0,McCain,40.0,2000-02-19
395,SC,2000-02-02,400.0,Bush,39.0,McCain,44.0,2000-02-19
9,SC,2000-02-03,600.0,Bush,42.0,McCain,45.0,2000-02-19
390,SC,2000-02-03,500.0,Bush,40.0,McCain,44.0,2000-02-19
3,SC,2000-02-06,500.0,Bush,48.0,McCain,43.0,2000-02-19
84,MI,2000-02-08,300.0,Bush,43.0,McCain,45.0,2000-02-22
193,MI,2000-02-08,400.0,Bush,41.0,McCain,40.0,2000-02-22
9,SC,2000-02-10,600.0,Bush,46.0,McCain,39.0,2000-02-19
258,SC,2000-02-10,500.0,Bush,43.0,McCain,40.0,2000-02-19
213,MI,2000-02-11,594.0,Bush,34.0,McCain,43.0,2000-02-22
172,SC,2000-02-12,1047.0,Bush,42.0,McCain,40.0,2000-02-19
9,SC,2000-02-14,600.0,Bush,47.0,McCain,41.0,2000-02-19
197,SC,2000-02-14,500.0,Bush,45.0,McCain,42.0,2000-02-19
112,SC,2000-02-15,563.0,Bush,52.0,McCain,40.0,2000-02-19
221,SC,2000-02-15,639.0,Bush,44.0,McCain,38.0,2000-02-19
277,SC,2000-02-15,600.0,Bush,47.0,McCain,35.0,2000-02-19
529,SC,2000-02-15,500.0,Bush,44.0,McCain,36.0,2000-02-19
213,MI,2000-02-16,594.0,Bush,38.0,McCain,40.0,2000-02-22
325,SC,2000-02-16,500.0,Bush,42.0,McCain,42.0,2000-02-19
395,SC,2000-02-16,600.0,Bush,43.0,McCain,42.0,2000-02-19
36,NY,2000-02-19,542.0,Gore,59.0,Bradley,28.0,2000-03-07
325,MI,2000-02-19,500.0,Bush,42.0,McCain,47.0,2000-02-22
36,NY,2000-02-19,374.0,Bush,43.0,McCain,36.0,2000-03-07
354,MA,2000-02-20,400.0,Gore,50.0,Bradley,35.0,2000-03-07
267,NY,2000-02-20,282.0,Gore,56.0,Bradley,32.0,2000-03-07
35,RI,2000-02-20,222.0,Gore,37.0,Bradley,24.0,2000-03-07
354,MA,2000-02-20,400.0,Bush,34.0,McCain,58.0,2000-03-07
9,MI,2000-02-20,600.0,Bush,42.0,McCain,48.0,2000-02-22
213,MI,2000-02-20,500.0,Bush,42.0,McCain,46.0,2000-02-22
183,NY,2000-02-21,279.0,Gore,59.0,Bradley,33.0,2000-03-07
197,CA,2000-02-22,275.0,Bush,41.0,McCain,30.0,2000-03-07
181,NY,2000-02-22,305.0,Bush,45.0,McCain,35.0,2000-03-07
160,MA,2000-02-23,873.0,Gore,59.0,Bradley,27.0,2000-03-07
9,VA,2000-02-23,600.0,Bush,44.0,McCain,36.0,2000-02-29
272,MA,2000-02-25,404.0,Gore,53.0,Bradley,29.0,2000-03-07
395,NY,2000-02-25,400.0,Gore,52.0,Bradley,35.0,2000-03-07
346,OH,2000-02-25,320.0,Gore,69.0,Bradley,22.0,2000-03-07
94,CA,2000-02-25,500.0,Bush,48.0,McCain,28.0,2000-03-07
